Province,Country/Region,Latitude,Longitude,Date,Confirmed,Deaths,Recovered
Afghanistan,Afghanistan,33.93911,67.709953,2020-01-22,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-01-23,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-01-24,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-01-25,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-01-26,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-01-27,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-01-28,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-01-29,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-01-30,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-01-31,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-01,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-02,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-03,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-04,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-05,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-06,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-07,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-08,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-09,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-10,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-11,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-12,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-13,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-14,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-15,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-16,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-17,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-18,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-19,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-20,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-21,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-22,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-23,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-24,1,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-25,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-26,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-27,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-28,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-02-29,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-01,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-02,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-03,1,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-04,2,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-05,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-06,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-07,0,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-08,1,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-09,2,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-10,1,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-11,3,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-12,1,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-13,1,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-14,2,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-15,1,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-16,2,0,1
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-17,2,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-18,4,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-19,1,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-20,4,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-21,1,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-22,4,1,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-23,7,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-24,2,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-25,33,1,1
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-26,4,1,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-27,11,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-28,16,1,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-29,11,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-30,28,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-03-31,29,0,3
Afghanistan,Afghanistan,33.93911,67.709953,2020-04-01,22,0,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-04-02,43,0,5
Afghanistan,Afghanistan,33.93911,67.709953,2020-04-03,35,4,0
Afghanistan,Afghanistan,33.93911,67.709953,2020-04-04,25,2,0
